"Species","Virus.name.abbreviations","Genome.coverage"
"Akonivirus phedro",NA,"Complete genome"
"Tinytimothyvirus alex44",NA,"Complete genome"
"Tinytimothyvirus tinytimothy",NA,"Complete genome"
"Campylobacter virus IBB35",NA,"Partial genome"
"Firehammervirus CP21",NA,"Complete genome"
"Firehammervirus CP220",NA,"Complete genome"
"Firehammervirus CPt10",NA,"Complete genome"
"Fletchervirus CP81",NA,"Complete genome"
"Fletchervirus CP30A",NA,"Complete genome"
"Fletchervirus CPX",NA,"Complete genome"
"Fletchervirus Los1",NA,"Complete genome"
"Fletchervirus NCTC12673",NA,"Complete genome"
"Antsirabevirus antsirabe",NA,"Complete genome"
"Avocadovirus avocado",NA,"Complete genome"
"Avocadovirus cambiare",NA,"Complete genome"
"Avocadovirus flagstaff",NA,"Complete genome"
"Jolieduovirus jolie2",NA,"Complete genome"
"Jolieduovirus lemuria",NA,"Complete genome"
"Jolieduovirus mercurio",NA,"Complete genome"
"Liefievirus grizzly",NA,"Complete genome"
"Liefievirus paito",NA,"Complete genome"
"Liefievirus rabbs",NA,"Complete genome"
"Liefievirus taheera",NA,"Complete genome"
"Mycobacterium virus Halo",NA,"Complete genome"
"Mycobacterium virus Liefie",NA,"Complete genome"
"Pinnievirus moorethemaryer",NA,"Complete genome"
"Pinnievirus pinnie",NA,"Complete genome"
"Dragolirvirus dragolir",NA,"Complete genome"
"Harrisonvirus harrison",NA,"Complete genome"
"Vegasvirus vegas",NA,"Complete genome"
"Wanderervirus wanderer",NA,"Complete genome"
"Aphroditevirus aphrodite1",NA,"Complete genome"
"Aphroditevirus av2TSL2019",NA,"Complete genome"
"Aphroditevirus PDCC1",NA,"Complete genome"
"Aphroditevirus USC1",NA,"Complete genome"
"Tidunavirus pTD1",NA,"Complete genome"
"Tidunavirus VP4B",NA,"Partial genome"
"Avanivirus avani",NA,"Complete genome"
"Avanivirus Che9d",NA,"Complete genome"
"Avanivirus demsculpinboyz",NA,"Complete genome"
"Avanivirus soul22",NA,"Complete genome"
"Avanivirus yoshi",NA,"Complete genome"
"Avanivirus zapner",NA,"Complete genome"
"Cheoctovirus arcusangelus",NA,"Complete genome"
"Cheoctovirus batiatus",NA,"Complete genome"
"Cheoctovirus blexus",NA,"Complete genome"
"Cheoctovirus bobaphett",NA,"Complete genome"
"Cheoctovirus bodeinwohner17",NA,"Complete genome"
"Cheoctovirus bubbles123",NA,"Complete genome"
"Cheoctovirus burwell21",NA,"Complete genome"
"Cheoctovirus buzzlyseyear",NA,"Complete genome"
"Cheoctovirus byougenkin",NA,"Complete genome"
"Cheoctovirus captaintrips",NA,"Complete genome"
"Cheoctovirus chuckly",NA,"Complete genome"
"Cheoctovirus dante",NA,"Complete genome"
"Cheoctovirus dilltech15",NA,"Complete genome"
"Cheoctovirus donkeykong",NA,"Complete genome"
"Cheoctovirus doug",NA,"Complete genome"
"Cheoctovirus DRBy19",NA,"Complete genome"
"Cheoctovirus eish",NA,"Complete genome"
"Cheoctovirus eleanorgeorge",NA,"Complete genome"
"Cheoctovirus emma",NA,"Complete genome"
"Cheoctovirus empress",NA,"Complete genome"
"Cheoctovirus estave1",NA,"Complete genome"
"Cheoctovirus fancypants",NA,"Complete genome"
"Cheoctovirus filuzino",NA,"Complete genome"
"Cheoctovirus firehouse51",NA,"Complete genome"
"Cheoctovirus florinda",NA,"Complete genome"
"Cheoctovirus galactic",NA,"Complete genome"
"Cheoctovirus gandalph",NA,"Complete genome"
"Cheoctovirus geralt",NA,"Complete genome"
"Cheoctovirus girr",NA,"Complete genome"
"Cheoctovirus gorge",NA,"Complete genome"
"Cheoctovirus hades",NA,"Complete genome"
"Cheoctovirus hamulus",NA,"Complete genome"
"Cheoctovirus harley",NA,"Complete genome"
"Cheoctovirus hlubikazi",NA,"Complete genome"
"Cheoctovirus inventum",NA,"Complete genome"
"Cheoctovirus joeyjr",NA,"Complete genome"
"Cheoctovirus kersh",NA,"Complete genome"
"Cheoctovirus kimberlium",NA,"Complete genome"
"Cheoctovirus krakatau",NA,"Complete genome"
"Cheoctovirus kristaram",NA,"Complete genome"
"Cheoctovirus lilmoolah",NA,"Complete genome"
"Cheoctovirus lizziana",NA,"Complete genome"
"Cheoctovirus mahavrat",NA,"Complete genome"
"Cheoctovirus mantra",NA,"Complete genome"
"Cheoctovirus mattes",NA,"Complete genome"
"Cheoctovirus melissauren88",NA,"Complete genome"
"Cheoctovirus milleniumforce",NA,"Complete genome"
"Cheoctovirus miniondave",NA,"Complete genome"
"Cheoctovirus minnie",NA,"Complete genome"
"Cheoctovirus moonbeam",NA,"Complete genome"
"Cheoctovirus nitzel",NA,"Complete genome"
"Cheoctovirus nivrat",NA,"Complete genome"
"Cheoctovirus ochi17",NA,"Complete genome"
"Cheoctovirus oldben",NA,"Complete genome"
"Cheoctovirus olympiasaint",NA,"Complete genome"
"Cheoctovirus ovechkin",NA,"Complete genome"
"Cheoctovirus owlsT2W",NA,"Complete genome"
"Cheoctovirus phasih",NA,"Complete genome"
"Cheoctovirus phatniss",NA,"Complete genome"
"Cheoctovirus plumbus",NA,"Complete genome"
"Cheoctovirus poenanya",NA,"Complete genome"
"Cheoctovirus polka14",NA,"Complete genome"
"Cheoctovirus poptart",NA,"Complete genome"
"Cheoctovirus priscilla",NA,"Complete genome"
"Cheoctovirus quickmath",NA,"Complete genome"
"Cheoctovirus ritaG",NA,"Complete genome"
"Cheoctovirus royals2015",NA,"Complete genome"
"Cheoctovirus saal",NA,"Complete genome"
"Cheoctovirus sandalphon",NA,"Complete genome"
"Cheoctovirus sisi",NA,"Complete genome"
"Cheoctovirus sparkdehlily",NA,"Complete genome"
"Cheoctovirus spikelee",NA,"Complete genome"
"Cheoctovirus spoonbill",NA,"Complete genome"
"Cheoctovirus supergrey",NA,"Complete genome"
"Cheoctovirus swagpigglett",NA,"Complete genome"
"Cheoctovirus veteran",NA,"Complete genome"
"Cheoctovirus wachhund",NA,"Complete genome"
"Cheoctovirus whouxphf",NA,"Complete genome"
"Cheoctovirus willsterrel",NA,"Complete genome"
"Cheoctovirus xfactor",NA,"Complete genome"
"Cheoctovirus zerg",NA,"Complete genome"
"Mycobacterium virus Ardmore",NA,"Complete genome"
"Mycobacterium virus Boomer",NA,"Complete genome"
"Mycobacterium virus Che8",NA,"Complete genome"
"Mycobacterium virus DeadP",NA,"Complete genome"
"Mycobacterium virus Dlane",NA,"Complete genome"
"Mycobacterium virus Dorothy",NA,"Complete genome"
"Mycobacterium virus DotProduct",NA,"Complete genome"
"Mycobacterium virus Drago",NA,"Complete genome"
"Mycobacterium virus Fruitloop",NA,"Complete genome"
"Mycobacterium virus GUmbie",NA,"Complete genome"
"Mycobacterium virus Ibhubesi",NA,"Complete genome"
"Mycobacterium virus Llij",NA,"Complete genome"
"Mycobacterium virus Mozy",NA,"Complete genome"
"Mycobacterium virus Mutaforma13",NA,"Complete genome"
"Mycobacterium virus Pacc40",NA,"Complete genome"
"Mycobacterium virus PMC",NA,"Complete genome"
"Mycobacterium virus Ramsey",NA,"Complete genome"
"Mycobacterium virus RockyHorror",NA,"Complete genome"
"Mycobacterium virus SG4",NA,"Complete genome"
"Mycobacterium virus Shauna1",NA,"Complete genome"
"Mycobacterium virus Shilan",NA,"Complete genome"
"Mycobacterium virus Spartacus",NA,"Complete genome"
"Mycobacterium virus Taj",NA,"Complete genome"
"Mycobacterium virus Tweety",NA,"Complete genome"
"Mycobacterium virus Wee",NA,"Complete genome"
"Mycobacterium virus Cornie",NA,"Complete genome"
"Moomoovirus moomoo",NA,"Complete genome"
"Mycobacterium virus Squirty",NA,"Complete genome"
"Mycobacterium virus Renaud18",NA,"Complete genome"
"Mycobacterium virus TChen",NA,"Complete genome"
"Mycobacterium virus ThetaBob",NA,"Complete genome"
"Cornellvirus SP31",NA,"Complete genome"
"Jerseyvirus AG11",NA,"Complete genome"
"Jerseyvirus Ent1",NA,"Complete genome"
"Jerseyvirus f18SE",NA,"Complete genome"
"Jerseyvirus jersey",NA,"Complete genome"
"Jerseyvirus L13",NA,"Complete genome"
"Jerseyvirus LSPA1",NA,"Complete genome"
"Jerseyvirus SE2",NA,"Complete genome"
"Jerseyvirus SETP3",NA,"Complete genome"
"Jerseyvirus SETP7",NA,"Complete genome"
"Jerseyvirus SETP13",NA,"Complete genome"
"Jerseyvirus SP101",NA,"Partial genome"
"Jerseyvirus SS3e",NA,"Complete genome"
"Jerseyvirus wksl3",NA,"Complete genome"
"Kagunavirus golestan",NA,"Complete genome"
"Kagunavirus K1G",NA,"Complete genome"
"Kagunavirus K1H",NA,"Complete genome"
"Kagunavirus K1ind1",NA,"Complete genome"
"Kagunavirus K1ind2",NA,"Complete genome"
"Kagunavirus RP180","RP180","Complete genome"
"Carmenvirus carmen17",NA,"Complete genome"
"Carmenvirus Wes44",NA,"Complete genome"
"Pebcunavirus PBC1",NA,"Complete genome"
"Byrnievirus HK97",NA,"Complete genome"
"Cuauhtlivirus mEpX1",NA,"Complete genome"
"Kwaitsingvirus HK446",NA,"Complete genome"
"Kwaitsingvirus HK544",NA,"Complete genome"
"Nochtlivirus mEp235",NA,"Complete genome"
"Saikungvirus HK75",NA,"Complete genome"
"Saikungvirus HK633",NA,"Complete genome"
"Shamshuipovirus HK022",NA,"Complete genome"
"Shamshuipovirus mEpX2",NA,"Complete genome"
"Wanchaivirus HK106",NA,"Complete genome"
"Wanchaivirus mEp234",NA,"Complete genome"
"Wongtaivirus ECP1",NA,"Complete genome"
"Wongtaivirus HK542",NA,"Complete genome"
"Yautsimvirus HK140",NA,"Complete genome"
"Beograduvirus KPhi1",NA,"Complete genome"
"Beograduvirus Xaf18",NA,"Complete genome"
"Tsukubavirus OP2",NA,"Complete genome"
"Tsukubavirus XPP1",NA,"Complete genome"
"Tsukubavirus XPV1",NA,"Complete genome"
"Getalongvirus asapag",NA,"Complete genome"
"Getalongvirus bentherdunthat",NA,"Complete genome"
"Getalongvirus getalong",NA,"Complete genome"
"Getalongvirus kenna",NA,"Complete genome"
"Horusvirus horus",NA,"Complete genome"
"Phistoryvirus phistory",NA,"Complete genome"
"Limdunavirus LDG",NA,"Complete genome"
"Limdunavirus Lmd1",NA,"Complete genome"
"Limdunavirus LN03",NA,"Complete genome"
"Limdunavirus LN04",NA,"Complete genome"
"Limdunavirus LN12",NA,"Complete genome"
"Limdunavirus P793",NA,"Complete genome"
"Limdunavirus P965",NA,"Complete genome"
"Unaquatrovirus Ln7",NA,"Complete genome"
"Unaquatrovirus Ln9",NA,"Complete genome"
"Unaquatrovirus LN25",NA,"Complete genome"
"Unaquatrovirus LN34",NA,"Complete genome"
"Unaquatrovirus uv1A4",NA,"Complete genome"
"Charlievirus Aggie",NA,"Complete genome"
"Charlievirus Andies",NA,"Complete genome"
"Charlievirus butters",NA,"Complete genome"
"Charlievirus Charlie",NA,"Complete genome"
"Charlievirus Fulbright",NA,"Complete genome"
"Charlievirus Jamie19",NA,"Complete genome"
"Charlievirus Kevin1",NA,"Complete genome"
"Charlievirus michellemybell",NA,"Complete genome"
"Charlievirus panchino",NA,"Complete genome"
"Charlievirus Philonius",NA,"Complete genome"
"Charlievirus phrann",NA,"Complete genome"
"Charlievirus Pipsqueaks",NA,"Complete genome"
"Charlievirus Raymond7",NA,"Complete genome"
"Charlievirus Rebel",NA,"Complete genome"
"Charlievirus redi",NA,"Complete genome"
"Charlievirus skinnypete",NA,"Complete genome"
"Charlievirus Tapioca",NA,"Complete genome"
"Charlievirus Xeno",NA,"Complete genome"
"Baxtervirus baxterfox",NA,"Complete genome"
"Baxtervirus yeezy",NA,"Complete genome"
"Nymphadoravirus kita",NA,"Complete genome"
"Nymphadoravirus nymphadora",NA,"Complete genome"
"Nymphadoravirus zirinka",NA,"Complete genome"
"Felixounavirus Alf5",NA,"Complete genome"
"Felixounavirus AYO145A",NA,"Complete genome"
"Felixounavirus BPS15Q2",NA,"Complete genome"
"Felixounavirus BPS17L1",NA,"Complete genome"
"Felixounavirus BPS17W1",NA,"Complete genome"
"Felixounavirus EC6",NA,"Complete genome"
"Felixounavirus felixO1",NA,"Complete genome"
"Felixounavirus HY02",NA,"Complete genome"
"Felixounavirus JH2",NA,"Complete genome"
"Felixounavirus mushroom",NA,"Complete genome"
"Felixounavirus Si3",NA,"Complete genome"
"Felixounavirus SP116",NA,"Complete genome"
"Felixounavirus TP1",NA,"Complete genome"
"Felixounavirus UAB87",NA,"Complete genome"
"Felixounavirus VpaE1",NA,"Complete genome"
"Felixounavirus wV8",NA,"Complete genome"
"Kolesnikvirus Ea214",NA,"Complete genome"
"Kolesnikvirus M7",NA,"Complete genome"
"Mooglevirus moogle",NA,"Complete genome"
"Mooglevirus mordin",NA,"Complete genome"
"Mooglevirus Sf13",NA,"Complete genome"
"Mooglevirus Sf14",NA,"Complete genome"
"Mooglevirus Sf17",NA,"Complete genome"
"Suspvirus SUSP1",NA,"Complete genome"
"Suspvirus SUSP2",NA,"Complete genome"
"Bignuzvirus bignuz",NA,"Complete genome"
"Fishburnevirus arib1",NA,"Complete genome"
"Fishburnevirus atcoo",NA,"Complete genome"
"Fishburnevirus bartholomew",NA,"Complete genome"
"Fishburnevirus brusacoram",NA,"Complete genome"
"Fishburnevirus donovan",NA,"Complete genome"
"Fishburnevirus firstplacepfu",NA,"Complete genome"
"Fishburnevirus fishburne",NA,"Complete genome"
"Fishburnevirus greaselightnin",NA,"Complete genome"
"Fishburnevirus jebeks",NA,"Complete genome"
"Fishburnevirus jung",NA,"Complete genome"
"Fishburnevirus kilkor",NA,"Complete genome"
"Fishburnevirus ksquared",NA,"Complete genome"
"Fishburnevirus majeke",NA,"Complete genome"
"Fishburnevirus malithi",NA,"Complete genome"
"Fishburnevirus shipwreck",NA,"Complete genome"
"Fishburnevirus willsammy",NA,"Complete genome"
"Phayoncevirus phayonce",NA,"Complete genome"
"Phayoncevirus thulathula",NA,"Complete genome"
"Purkyvirus purky",NA,"Complete genome"
"Mycobacterium virus Tortellini",NA,"Complete genome"
"Xaviavirus xavia",NA,"Complete genome"
"Amoyvirus R7M","R7M","Complete genome"
"Nipunavirus NP1",NA,"Complete genome"
"Nipunavirus PaMx25",NA,"Complete genome"
"Nonagvirus JenK1",NA,"Complete genome"
"Nonagvirus JenP1",NA,"Complete genome"
"Nonagvirus JenP2",NA,"Complete genome"
"Nonagvirus nv9g",NA,"Complete genome"
"Nonagvirus SE1Kor",NA,"Complete genome"
"Seuratvirus cajan",NA,"Complete genome"
"Seuratvirus seurat",NA,"Complete genome"
"Catfishvirus catfish",NA,"Complete genome"
"Dardanusvirus dardanus",NA,"Complete genome"
"Gesputvirus gsput1",NA,"Complete genome"
"Schmidtvirus schmidt",NA,"Complete genome"
"Tinalinvirus tinalin",NA,"Complete genome"
"Vendettavirus tzgordon",NA,"Complete genome"
"Vendettavirus vendetta",NA,"Complete genome"
"Diegovirus dv7502Stx",NA,"Complete genome"
"Diegovirus POCJ13",NA,"Complete genome"
"Oslovirus ArgO145",NA,"Complete genome"
"Oslovirus Lyz12581Vzw",NA,"Complete genome"
"Oslovirus ov191",NA,"Complete genome"
"Oslovirus PA2",NA,"Complete genome"
"Oslovirus TL2011",NA,"Complete genome"
"Oslovirus VASD",NA,"Complete genome"
"Traversvirus AU5Stx1",NA,"Complete genome"
"Traversvirus AU6Stx1",NA,"Complete genome"
"Traversvirus F451",NA,"Complete genome"
"Traversvirus II",NA,"Complete genome"
"Traversvirus min27",NA,"Complete genome"
"Traversvirus P27",NA,"Complete genome"
"Traversvirus PA28",NA,"Complete genome"
"Traversvirus SH2026Stx1",NA,"Complete genome"
"Traversvirus ST28624",NA,"Complete genome"
"Traversvirus tv86",NA,"Complete genome"
"Traversvirus tv24B",NA,"Complete genome"
"Traversvirus tv933W",NA,"Complete genome"
"Traversvirus WGPS9",NA,"Complete genome"
"Bembunaquatrovirus BMBtp14",NA,"Complete genome"
"Pushchinovirus B83",NA,"Complete genome"
"Justusliebigvirus alia",NA,"Complete genome"
"Justusliebigvirus muut",NA,"Complete genome"
"Justusliebigvirus PD06",NA,"Complete genome"
"Justusliebigvirus PHB05",NA,"Complete genome"
"Justusliebigvirus phi92",NA,"Complete genome"
"Justusliebigvirus VEcB",NA,"Complete genome"
"Escherichia phage ESCO13",NA,"Complete genome"
"Escherichia virus ESCO5",NA,"Complete genome"
"Escherichia virus phAPEC8",NA,"Complete genome"
"Escherichia virus Schickermooser",NA,"Complete genome"
"Klebsiella virus ZCKP1",NA,"Complete genome"
"Phapecoctavirus anhysbys",NA,"Complete genome"
"Phapecoctavirus Mt1B1P17",NA,"Complete genome"
"Phapecoctavirus nepoznato",NA,"Complete genome"
"Phapecoctavirus nieznany",NA,"Complete genome"
"Phapecoctavirus Ro121c4YLVW",NA,"Complete genome"
"Phapecoctavirus TSP7",NA,"Complete genome"
"Phapecoctavirus tuntematon",NA,"Complete genome"
"Phapecoctavirus ukendt",NA,"Complete genome"
"Jelitavirus B025",NA,"Complete genome"
"Slepowronvirus LP101",NA,"Complete genome"
"Slepowronvirus LPHM00113468",NA,"Complete genome"
"Douglaswolinvirus B2",NA,"Complete genome"
"Lenusvirus lenus",NA,"Complete genome"
"Lenusvirus nyseid",NA,"Complete genome"
"Lenusvirus SAC12",NA,"Complete genome"
"Lidleunavirus Ldl1",NA,"Complete genome"
"Lidleunavirus ViSo2018a",NA,"Partial genome"
"Maenadvirus maenad",NA,"Complete genome"
"Maenadvirus P1",NA,"Complete genome"
"Maenadvirus satyr",NA,"Complete genome"
"Avunavirus Av05",NA,"Complete genome"
"Certrevirus CR3",NA,"Complete genome"
"Certrevirus CR8",NA,"Complete genome"
"Certrevirus CR9",NA,"Complete genome"
"Certrevirus PBES02",NA,"Complete genome"
"Certrevirus phiTE",NA,"Complete genome"
"Henunavirus hena1",NA,"Complete genome"
"Henunavirus SNUABM01",NA,"Complete genome"
"Mydovirus BIS47",NA,"Complete genome"
"Mydovirus KB57",NA,"Complete genome"
"Mydovirus KNP2",NA,"Complete genome"
"Mydovirus KpS8",NA,"Complete genome"
"Mydovirus mydo",NA,"Complete genome"
"Mydovirus Ro1",NA,"Complete genome"
"Seunavirus 4MG",NA,"Complete genome"
"Seunavirus GAP31",NA,"Complete genome"
"Seunavirus PVPSE1",NA,"Complete genome"
"Seunavirus SSE121",NA,"Complete genome"
"Vequintavirus APECc02",NA,"Complete genome"
"Vequintavirus FFH2",NA,"Complete genome"
"Vequintavirus FV3",NA,"Complete genome"
"Vequintavirus JES2013",NA,"Complete genome"
"Vequintavirus murica",NA,"Complete genome"
"Vequintavirus slur16",NA,"Complete genome"
"Vequintavirus V5",NA,"Complete genome"
"Vequintavirus V18",NA,"Complete genome"
"Amginevirus amgine",NA,"Complete genome"
"Amginevirus amohnition",NA,"Complete genome"
"Amginevirus darthP",NA,"Complete genome"
"Amginevirus ekdilam",NA,"Complete genome"
"Amginevirus ellie",NA,"Complete genome"
"Aminayvirus aminay",NA,"Complete genome"
"Anayavirus adephagia",NA,"Complete genome"
"Anayavirus adonis",NA,"Complete genome"
"Anayavirus alishaPH",NA,"Complete genome"
"Anayavirus amelie",NA,"Complete genome"
"Anayavirus anaya",NA,"Complete genome"
"Anayavirus angelica",NA,"Complete genome"
"Anayavirus apocalypse",NA,"Complete genome"
"Anayavirus beezoo",NA,"Complete genome"
"Anayavirus bella96",NA,"Complete genome"
"Anayavirus chris",NA,"Complete genome"
"Anayavirus crimD",NA,"Complete genome"
"Anayavirus curiosium",NA,"Complete genome"
"Anayavirus JAWS",NA,"Complete genome"
"Anayavirus kisi",NA,"Complete genome"
"Anayavirus lasthope",NA,"Complete genome"
"Anayavirus laterM",NA,"Complete genome"
"Anayavirus markphew",NA,"Complete genome"
"Anayavirus marshawn",NA,"Complete genome"
"Anayavirus murucutumbu",NA,"Complete genome"
"Anayavirus nibb",NA,"Complete genome"
"Anayavirus niklas",NA,"Complete genome"
"Anayavirus prithvi",NA,"Complete genome"
"Anayavirus sirphilip",NA,"Complete genome"
"Anayavirus urkel",NA,"Complete genome"
"Anayavirus validus",NA,"Complete genome"
"Anayavirus yuna",NA,"Complete genome"
"Anayavirus yunkel11",NA,"Complete genome"
"Anayavirus zavala",NA,"Complete genome"
"Fionnbharthvirus eponine",NA,"Complete genome"
"Fionnbharthvirus fionnbharth",NA,"Complete genome"
"Fionnbharthvirus henu3",NA,"Complete genome"
"Fionnbharthvirus patt",NA,"Complete genome"
"Fionnbharthvirus taquito",NA,"Complete genome"
"Keshuvirus hurricane",NA,"Complete genome"
"Keshuvirus keshu",NA,"Complete genome"
"Keshuvirus macncheese",NA,"Complete genome"
"Keshuvirus pixie",NA,"Complete genome"
"Keshuvirus shedlockholmes",NA,"Complete genome"
"Kratiovirus collard",NA,"Complete genome"
"Kratiovirus gengar",NA,"Complete genome"
"Kratiovirus kratio",NA,"Complete genome"
"Kratiovirus larva",NA,"Complete genome"
"Kratiovirus leston",NA,"Complete genome"
"Kratiovirus omnicron",NA,"Complete genome"
"Kratiovirus paola",NA,"Complete genome"
"Kratiovirus rando14",NA,"Complete genome"
"Kratiovirus thyatira",NA,"Complete genome"
"Mycobacterium virus Fionnbharth",NA,"Complete genome"
"Mycobacterium virus TM4",NA,"Complete genome"
"Timquatrovirus findley",NA,"Complete genome"
"Timquatrovirus mufasa",NA,"Complete genome"
"Timquatrovirus zoeJ",NA,"Complete genome"
"Unicornvirus bryler",NA,"Complete genome"
"Unicornvirus krueger",NA,"Complete genome"
"Unicornvirus shandong1",NA,"Complete genome"
"Unicornvirus unicorn",NA,"Complete genome"
"Unicornvirus ximenita",NA,"Complete genome"
"Abbeymikolonvirus abbeymikolon",NA,"Complete genome"
"Abouovirus abouo",NA,"Complete genome"
"Abouovirus davies",NA,"Complete genome"
"Agmunavirus AGM1",NA,"Complete genome"
"Agricanvirus deimos",NA,"Complete genome"
"Agricanvirus desertfox",NA,"Complete genome"
"Agricanvirus Ea3570",NA,"Complete genome"
"Agricanvirus ray",NA,"Complete genome"
"Agricanvirus simmy50",NA,"Complete genome"
"Agricanvirus specialG",NA,"Complete genome"
"Aguilavirus mEp043",NA,"Complete genome"
"Aguilavirus mEp213",NA,"Complete genome"
"Akiravirus akira",NA,"Complete genome"
"Alachuavirus Xp15",NA,"Complete genome"
"Alcyoneusvirus K641",NA,"Complete genome"
"Alcyoneusvirus RaK2",NA,"Complete genome"
"Alegriavirus av2B8",NA,"Complete genome"
"Alexandravirus AD1",NA,"Complete genome"
"Alexandravirus alexandra",NA,"Complete genome"
"Amigovirus amigo",NA,"Complete genome"
"Amigovirus molivia",NA,"Complete genome"
"Anamdongvirus LBR48",NA,"Complete genome"
"Anatolevirus anatole",NA,"Complete genome"
"Anatolevirus B3",NA,"Complete genome"
"Andrewvirus andrew",NA,"Complete genome"
"Andromedavirus andromeda",NA,"Complete genome"
"Andromedavirus blastoid",NA,"Complete genome"
"Andromedavirus curly",NA,"Complete genome"
"Andromedavirus eoghan",NA,"Complete genome"
"Andromedavirus finn",NA,"Complete genome"
"Andromedavirus glittering",NA,"Complete genome"
"Andromedavirus riggi",NA,"Complete genome"
"Andromedavirus taylor",NA,"Complete genome"
"Anjalivirus anjali",NA,"Complete genome"
"Anjalivirus mendel",NA,"Complete genome"
"Annadreamyvirus annadreamy",NA,"Complete genome"
"Annadreamyvirus blueeyedbeauty",NA,"Complete genome"
"Anthonyvirus anthony",NA,"Complete genome"
"Aokuangvirus SCBWM1",NA,"Complete genome"
"Appavirus appa",NA,"Complete genome"
"Apricotvirus apricot",NA,"Complete genome"
"Arawnvirus arawn",NA,"Complete genome"
"Archimedesvirus archimedes",NA,"Complete genome"
"Armstrongvirus armstrong",NA,"Complete genome"
"Ashduovirus A2",NA,"Complete genome"
"Asteriusvirus av121Q",NA,"Complete genome"
"Asteriusvirus PBECO4",NA,"Complete genome"
"Astrithrvirus astrithr",NA,"Complete genome"
"Attisvirus attis",NA,"Complete genome"
"Attoomivirus attoomi",NA,"Complete genome"
"Audreyjarvisvirus AM1",NA,"Complete genome"
"Audreyjarvisvirus AM4",NA,"Complete genome"
"Audreyjarvisvirus av949",NA,"Complete genome"
"Audreyjarvisvirus L47",NA,"Complete genome"
"Audreyjarvisvirus LW81",NA,"Complete genome"
"Audreyjarvisvirus P1048",NA,"Complete genome"
"Audreyjarvisvirus WRP3",NA,"Complete genome"
"Aurunvirus STIM5",NA,"Complete genome"
"Austintatiousvirus austintatious",NA,"Complete genome"
"Austintatiousvirus ididsumtinwong",NA,"Complete genome"
"Austintatiousvirus papayasalad",NA,"Complete genome"
"Ayohtrevirus abba",NA,"Complete genome"
"Backyardiganvirus arturo",NA,"Complete genome"
"Backyardiganvirus backyardigan",NA,"Complete genome"
"Backyardiganvirus bellusterra",NA,"Complete genome"
"Backyardiganvirus camperdownii",NA,"Complete genome"
"Backyardiganvirus cerulean",NA,"Complete genome"
"Backyardiganvirus cindaradix",NA,"Complete genome"
"Backyardiganvirus cintron",NA,"Complete genome"
"Backyardiganvirus icleared",NA,"Complete genome"
"Backyardiganvirus leoavram",NA,"Complete genome"
"Backyardiganvirus LHTSCC",NA,"Complete genome"
"Backyardiganvirus miramae",NA,"Complete genome"
"Backyardiganvirus mundrea",NA,"Complete genome"
"Backyardiganvirus noelle",NA,"Complete genome"
"Backyardiganvirus peaches",NA,"Complete genome"
"Backyardiganvirus stasia",NA,"Complete genome"
"Backyardiganvirus wizard007",NA,"Complete genome"
"Badaztecvirus badaargau2",NA,"Complete genome"
"Badaztecvirus badaztec1",NA,"Complete genome"
"Baikalvirus PaBG",NA,"Complete genome"
"Bakolyvirus bakoly","Bakoly","Complete genome"
"Bakolyvirus simangalove","Simangalove","Complete genome"
"Bantamvirus bantam",NA,"Complete genome"
"Barbavirus barba18A",NA,"Complete genome"
"Barbavirus barba19A",NA,"Complete genome"
"Barbavirus barba21A",NA,"Complete genome"
"Barbavirus barba5S",NA,"Complete genome"
"Barbavirus barba8S",NA,"Complete genome"
"Barnyardvirus barnyard",NA,"Complete genome"
"Barnyardvirus drlupo",NA,"Complete genome"
"Bcepfunavirus bcepF1",NA,"Complete genome"
"Bcepmuvirus bcepMu",NA,"Complete genome"
"Bcepmuvirus E255",NA,"Complete genome"
"Beceayunavirus BceA1",NA,"Complete genome"
"Becedseptimavirus BCD7",NA,"Complete genome"
"Beetrevirus B3",NA,"Complete genome"
"Beetrevirus JBD67",NA,"Complete genome"
"Beetrevirus JD18",NA,"Partial genome"
"Beetrevirus PM105",NA,"Complete genome"
"Behunavirus BH1",NA,"Complete genome"
"Bendigovirus GMA6",NA,"Complete genome"
"Benedictvirus archetta",NA,"Complete genome"
"Benedictvirus benedict",NA,"Complete genome"
"Benedictvirus bluefalcon",NA,"Complete genome"
"Benedictvirus chadwick",NA,"Complete genome"
"Benedictvirus cuco",NA,"Complete genome"
"Benedictvirus jovo",NA,"Complete genome"
"Benedictvirus littlecherry",NA,"Complete genome"
"Benedictvirus naca",NA,"Complete genome"
"Benedictvirus scorpia",NA,"Complete genome"
"Benedictvirus swirley",NA,"Complete genome"
"Benedictvirus theia",NA,"Complete genome"
"Benedictvirus tiger",NA,"Complete genome"
"Benedictvirus unionjack",NA,"Complete genome"
"Benedictvirus zolita",NA,"Complete genome"
"Bernalvirus bernal13",NA,"Complete genome"
"Bernalvirus mendokysei",NA,"Complete genome"
"Betterkatzvirus betterkatz",NA,"Complete genome"
"Bievrevirus bv4A7",NA,"Complete genome"
"Bingvirus bing",NA,"Complete genome"
"Bippervirus bipper",NA,"Complete genome"
"Bjornvirus bjorn",NA,"Complete genome"
"Borockvirus brock",NA,"Complete genome"
"Bowservirus bowser",NA,"Complete genome"
"Bridgettevirus bridgette",NA,"Complete genome"
"Bridgettevirus constance",NA,"Complete genome"
